"","weather","risk","treatment","outcome"
"4840","normal","low","treated","not-burned"
"4841","normal","low","treated","not-burned"
"4842","dry","low","untreated","not-burned"
"4843","normal","low","untreated","not-burned"
"4844","normal","low","treated","not-burned"
"4845","wet","low","treated","not-burned"
"4846","normal","high","treated","not-burned"
"4847","normal","high","untreated","burned"
"4848","normal","low","treated","not-burned"
"4849","wet","low","untreated","not-burned"
"4850","normal","low","treated","not-burned"
"4851","normal","low","treated","not-burned"
"4852","normal","low","untreated","not-burned"
"4853","normal","low","treated","not-burned"
"4854","normal","low","untreated","not-burned"
"4855","normal","low","treated","not-burned"
"4856","normal","low","untreated","not-burned"
"4857","normal","high","untreated","not-burned"
"4858","wet","low","untreated","not-burned"
"4859","dry","low","treated","not-burned"
"4860","normal","low","untreated","not-burned"
"4861","normal","high","treated","burned"
"4862","normal","high","untreated","not-burned"
"4863","wet","low","untreated","not-burned"
"4864","normal","low","untreated","not-burned"
"4865","normal","low","untreated","not-burned"
"4866","wet","low","treated","not-burned"
"4867","dry","high","treated","burned"
"4868","wet","low","treated","not-burned"
"4869","normal","low","treated","not-burned"
"4870","wet","low","untreated","not-burned"
"4871","normal","low","untreated","not-burned"
"4872","normal","low","treated","not-burned"
"4873","wet","low","treated","not-burned"
"4874","normal","high","untreated","burned"
"4875","normal","low","untreated","not-burned"
"4876","dry","low","untreated","burned"
"4877","dry","low","treated","burned"
"4878","wet","low","treated","not-burned"
"4879","wet","low","treated","not-burned"
"4880","normal","high","treated","not-burned"
"4881","normal","high","treated","not-burned"
"4882","normal","low","untreated","not-burned"
"4883","wet","low","treated","not-burned"
"4884","normal","low","treated","not-burned"
"4885","normal","low","untreated","not-burned"
"4886","wet","low","treated","burned"
"4887","normal","low","treated","not-burned"
"4888","normal","low","untreated","not-burned"
"4889","normal","low","treated","not-burned"
"4890","wet","low","treated","not-burned"
"4891","wet","low","treated","not-burned"
"4892","wet","low","untreated","not-burned"
"4893","normal","low","untreated","not-burned"
"4894","normal","high","untreated","burned"
"4895","dry","low","untreated","not-burned"
"4896","normal","low","untreated","not-burned"
"4897","normal","low","untreated","not-burned"
"4898","normal","high","treated","not-burned"
"4899","normal","low","treated","not-burned"
"4900","normal","low","treated","not-burned"
"4901","dry","low","treated","not-burned"
"4902","normal","low","treated","not-burned"
"4903","normal","high","treated","not-burned"
"4904","dry","low","treated","not-burned"
"4905","wet","low","untreated","burned"
"4906","dry","high","treated","not-burned"
"4907","wet","low","untreated","not-burned"
"4908","normal","high","treated","not-burned"
"4909","normal","high","treated","not-burned"
"4910","dry","low","untreated","burned"
"4911","dry","high","treated","burned"
"4912","wet","low","untreated","not-burned"
"4913","normal","high","untreated","not-burned"
"4914","normal","high","untreated","not-burned"
"4915","normal","low","treated","not-burned"
"4916","normal","low","treated","not-burned"
"4917","normal","high","treated","burned"
"4918","dry","low","treated","not-burned"
"4919","wet","low","untreated","not-burned"
"4920","wet","low","treated","not-burned"
"4921","dry","low","treated","not-burned"
"4922","normal","low","treated","not-burned"
"4923","normal","low","untreated","not-burned"
"4924","normal","low","untreated","not-burned"
"4925","dry","low","untreated","burned"
"4926","normal","low","treated","not-burned"
"4927","wet","low","treated","not-burned"
"4928","normal","high","treated","not-burned"
"4929","normal","low","untreated","not-burned"
"4930","normal","high","treated","not-burned"
"4931","normal","high","treated","not-burned"
"4932","dry","low","untreated","burned"
"4933","normal","low","untreated","not-burned"
"4934","normal","low","untreated","not-burned"
"4935","normal","high","treated","not-burned"
"4936","wet","low","untreated","not-burned"
"4937","wet","low","untreated","not-burned"
"4938","normal","high","untreated","not-burned"
"4939","wet","low","untreated","not-burned"
"4940","wet","low","untreated","not-burned"
"4941","dry","high","treated","not-burned"
"4942","dry","low","untreated","not-burned"
"4943","normal","low","treated","not-burned"
"4944","wet","low","untreated","not-burned"
"4945","wet","low","untreated","not-burned"
"4946","normal","low","untreated","not-burned"
"4947","wet","low","treated","not-burned"
"4948","dry","low","untreated","not-burned"
"4949","wet","high","treated","not-burned"
"4950","wet","high","treated","not-burned"
"4951","normal","high","untreated","burned"
"4952","dry","high","treated","not-burned"
"4953","normal","low","untreated","not-burned"
"4954","normal","high","treated","not-burned"
"4955","normal","low","untreated","not-burned"
"4956","wet","high","treated","not-burned"
"4957","normal","high","treated","not-burned"
"4958","normal","high","treated","not-burned"
"4959","normal","low","treated","not-burned"
"4960","normal","high","treated","not-burned"
"4961","normal","high","treated","not-burned"
"4962","wet","low","treated","not-burned"
"4963","wet","low","untreated","not-burned"
"4964","normal","low","treated","not-burned"
"4965","dry","low","untreated","not-burned"
"4966","dry","low","untreated","burned"
"4967","normal","low","untreated","not-burned"
"4968","normal","high","treated","not-burned"
"4969","normal","low","untreated","not-burned"
"4970","dry","low","untreated","burned"
"4971","wet","low","untreated","not-burned"
"4972","wet","low","untreated","not-burned"
"4973","wet","low","treated","not-burned"
"4974","dry","high","treated","not-burned"
"4975","wet","low","untreated","not-burned"
"4976","wet","low","treated","not-burned"
"4977","normal","high","treated","not-burned"
"4978","normal","low","untreated","not-burned"
"4979","wet","high","treated","burned"
"4980","normal","low","untreated","not-burned"
"4981","dry","low","untreated","not-burned"
"4982","normal","low","treated","not-burned"
"4983","normal","low","untreated","not-burned"
"4984","normal","low","untreated","not-burned"
"4985","normal","high","treated","not-burned"
"4986","normal","high","untreated","not-burned"
"4987","normal","low","untreated","not-burned"
"4988","wet","low","untreated","not-burned"
"4989","normal","low","untreated","not-burned"
"4990","dry","low","untreated","not-burned"
"4991","wet","high","untreated","not-burned"
"4992","wet","low","untreated","not-burned"
"4993","normal","low","treated","not-burned"
"4994","normal","low","untreated","not-burned"
"4995","wet","low","untreated","not-burned"
"4996","dry","low","untreated","burned"
"4997","normal","low","untreated","not-burned"
"4998","wet","high","untreated","not-burned"
"4999","normal","low","untreated","not-burned"
"5000","normal","high","treated","burned"
"5001","normal","low","untreated","not-burned"
"5002","wet","low","treated","not-burned"
"5003","wet","high","treated","not-burned"
"5004","wet","low","untreated","not-burned"
"5005","normal","high","treated","not-burned"
"5006","normal","high","treated","not-burned"
"5007","wet","low","treated","not-burned"
"5008","normal","low","treated","not-burned"
"5009","dry","low","untreated","burned"
"5010","wet","low","untreated","not-burned"
"5011","wet","low","untreated","not-burned"
"5012","dry","low","untreated","not-burned"
"5013","wet","low","untreated","not-burned"
"5014","normal","low","treated","not-burned"
"5015","wet","low","treated","not-burned"
"5016","normal","high","treated","not-burned"
"5017","normal","low","untreated","not-burned"
"5018","normal","low","untreated","not-burned"
"5019","normal","high","treated","not-burned"
"5020","dry","low","untreated","not-burned"
"5021","wet","low","untreated","not-burned"
"5022","normal","low","treated","not-burned"
"5023","wet","low","treated","not-burned"
"5024","wet","low","treated","not-burned"
"5025","normal","high","treated","burned"
"5026","dry","low","untreated","not-burned"
"5027","wet","low","treated","not-burned"
"5028","dry","low","treated","burned"
"5029","dry","low","untreated","not-burned"
"5030","normal","low","treated","not-burned"
"5031","dry","low","untreated","not-burned"
"5032","normal","low","untreated","not-burned"
"5033","wet","low","treated","not-burned"
"5034","wet","low","treated","not-burned"
"5035","wet","low","treated","not-burned"
"5036","wet","low","treated","not-burned"
"5037","wet","low","untreated","not-burned"
"5038","normal","high","treated","not-burned"
"5039","wet","low","untreated","not-burned"
"5040","dry","high","treated","not-burned"
"5041","normal","low","untreated","not-burned"
"5042","dry","high","untreated","not-burned"
"5043","normal","low","untreated","not-burned"
"5044","wet","low","treated","not-burned"
"5045","wet","low","treated","not-burned"
"5046","normal","low","treated","not-burned"
"5047","dry","low","untreated","not-burned"
"5048","normal","high","treated","burned"
"5049","normal","low","treated","not-burned"
"5050","normal","high","untreated","not-burned"
"5051","dry","low","treated","not-burned"
"5052","normal","low","treated","not-burned"
"5053","wet","low","untreated","not-burned"
"5054","wet","low","treated","not-burned"
"5055","normal","low","treated","not-burned"
"5056","normal","low","untreated","not-burned"
"5057","wet","low","untreated","not-burned"
"5058","normal","high","untreated","not-burned"
"5059","wet","high","treated","not-burned"
"5060","wet","low","untreated","not-burned"
"5061","dry","high","treated","not-burned"
"5062","wet","low","treated","not-burned"
"5063","normal","low","treated","not-burned"
"5064","wet","low","treated","not-burned"
"5065","normal","low","untreated","not-burned"
"5066","normal","low","treated","not-burned"
"5067","normal","high","treated","burned"
"5068","wet","low","treated","not-burned"
"5069","normal","low","treated","not-burned"
"5070","wet","low","untreated","not-burned"
"5071","wet","low","treated","not-burned"
"5072","wet","high","treated","not-burned"
"5073","wet","low","treated","not-burned"
"5074","dry","low","treated","not-burned"
"5075","wet","low","untreated","not-burned"
"5076","wet","low","treated","not-burned"
"5077","wet","low","untreated","not-burned"
"5078","normal","low","untreated","not-burned"
"5079","normal","low","untreated","not-burned"
"5080","normal","low","untreated","not-burned"
"5081","wet","low","untreated","not-burned"
"5082","dry","low","treated","not-burned"
"5083","wet","low","treated","not-burned"
"5084","normal","high","treated","not-burned"
"5085","wet","low","untreated","not-burned"
"5086","normal","low","treated","not-burned"
"5087","normal","high","treated","not-burned"
"5088","normal","low","treated","not-burned"
"5089","wet","low","treated","not-burned"
"5090","wet","low","untreated","not-burned"
"5091","dry","high","treated","not-burned"
